osm_id,osm_type,nombre,direccion,ciudad,telefono,whatsapp,website,horario,marca,latitud,longitud
node/8065939100,node,Farmacia Melo,,,,,,,,18.6121082,-68.7150805
node/8078244125,node,Hotel Patria,,,,,,,,18.6099754,-68.7066643
node/8078244146,node,Farmacia Santana,,,,,,,,18.6166491,-68.7135571
node/8078244176,node,Farmacia San José,,,,,,,,18.6182985,-68.7092784
node/8406733817,node,Farmacia sin nombre,,,,,,,,19.291378,-69.4299514
node/8568224266,node,Pharmacia,,,,,,,,18.4481623,-69.6105986
node/8703092009,node,Farmacia Nehemias,,,,,,,,18.6134577,-68.7273494
node/8762950517,node,Farmacia sin nombre,,,,,,,,19.8302779,-71.0614826
node/8762950617,node,Farmacia sin nombre,,,,,,,,19.7579745,-70.834499
node/8770238617,node,Farmacia Capafaro,,,,,,,,19.6328032,-70.0755763
node/8777695719,node,Farmacia sin nombre,,,,,,,,19.2081236,-69.3371216
node/8779931417,node,Farmacia del pueblo,,,,,,,,19.1959993,-69.8642224
node/9178584332,node,Farmacia Patrizo S.R.L.,"Calle Manolo Betances 10, Santo Domingo Este",Santo Domingo Este,+18095921100,,,,,18.4850185,-69.78759
node/9178584333,node,Farmacia Medicar G B C S.R.L,"Av. Coronel Rafael Tomás Fernández Domínguez Plaza Eva Maria no.2, Santo Domingo Este",Santo Domingo Este,,,,,,18.4928026,-69.8107806
node/9201537631,node,Delbamar,,,,,,,,19.295603,-69.4367749
node/9206289757,node,Torres,"Calle Orlando Martinez, Santo Domingo Este",Santo Domingo Este,,,,Mo-Sa 08:00-20:00,,18.507298,-69.8179051
node/9228859690,node,Brisas del eden,"Carretera A Mendoza 58, Santo Domingo Este",Santo Domingo Este,+18092629989+18092365976,,,,,18.5057995,-69.8137329
node/9244103647,node,Farmacia Carol,,,,,,,,18.4695334,-69.9021268
node/9260306493,node,Farmacia El Manantial,"Carretera Presidente Antonio Guzmán Fernández 11, San Drancisco De Macoris",San Drancisco De Macoris,,,,Mo-Su 07:00-22:00,,19.2859717,-70.2744761
node/9334248563,node,Farmacia sin nombre,,,,,,,,19.2526602,-69.4578275
node/9334375586,node,Marina,,,,,,,,19.2040506,-69.3432997
node/9595060475,node,Farmacia sin nombre,,,,,,,,18.6387128,-68.3475273
node/9815755367,node,Farmacia Patrizo,,,,,,,,18.48749,-69.7504462
node/9919979505,node,Farmacia Karol,"Carretera Presidente Antonio Guzmán Fernández, San Francisco De Macoris",San Francisco De Macoris,,,,,,19.2875335,-70.2691504
node/9945813405,node,Farmacias VIP,"Av. Martin Luther King Jr, Santo Domingo Este",Santo Domingo Este,+18093880002,,https://www.farmaciasvip.com/,,,18.5080424,-69.8139465
node/10000067616,node,Farmacia Carol,,,,,,,,18.506516,-69.8571252
node/10093563405,node,Farmacia Michelle,,,,,,,,19.6407799,-69.9064693
node/10573208909,node,Farmacia 30 de Mayo,Calle Marcial Soto,,,,,Mo-Sa 08:00-19:00,,18.276196,-70.3401614
node/10573209009,node,Farmacia Medicar GBC,Baní - Azua,,,,https://farmaciamedicargbc.com/,Mo-Sa 07:00-22:00; Su 08:00-21:00,,18.2800736,-70.3423766
node/10596455106,node,Farmacia Altagracia,Calle Juan Pablo Duarte,,+18095223248,,,Mo-Su 08:00-23:00,,18.2818077,-70.3320727
node/10627512405,node,Farmacia Luisandra,Avenida Máximo Gómez 60,,+18095223300,,,,,18.2804178,-70.3359818
